leave_id,employee_id,start_date,end_date,days,leave_type,status,applied_on,approved_by,remarks
14,28,5/30/2025,12/14/2024,-14473647,Annual,Approved,2025-01-20T17:58:32Z,49,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem."
15,23,3/4/2025,1/17/2025,-4029554,Casual,Approved,2025-05-25T08:29:11Z,10,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
16,44,2/2/2025,7/12/2025,13769172,Annual,Rejected,2025-05-27T01:45:56Z,65,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
17,99,8/10/2025,7/22/2025,-1637879,Sick,Approved,2025-07-17T18:34:45Z,94,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque."
18,98,3/9/2025,5/9/2025,5269404,Annual,Pending,2025-04-08T04:07:55Z,88,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis."
19,62,8/25/2025,6/4/2025,-7107906,Annual,Pending,2024-12-24T23:11:24Z,64,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
20,99,8/2/2025,8/19/2025,1521905,Sick,Approved,2024-11-05T18:10:06Z,11,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
21,51,3/29/2025,1/18/2025,-6011973,Sick,Approved,2024-12-05T01:51:28Z,49,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
22,44,6/26/2025,3/15/2025,-8851141,Casual,Rejected,2025-09-02T03:17:53Z,18,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl."
23,48,9/19/2025,1/26/2025,-20410539,Sick,Rejected,2025-07-07T04:24:25Z,20,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
24,78,2/24/2025,8/24/2025,15639447,Sick,Rejected,2024-10-02T01:21:58Z,25,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem."
25,89,9/30/2024,9/16/2025,30366519,Casual,Approved,2025-08-04T13:54:45Z,34,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
26,5,4/4/2025,12/13/2024,-9678397,Annual,Rejected,2025-04-20T20:13:24Z,81,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris."
27,77,8/26/2025,7/8/2025,-4198437,Casual,Rejected,2025-05-26T22:58:55Z,89,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
28,20,2/27/2025,9/28/2024,-13184049,Sick,Rejected,2024-12-15T21:04:06Z,65,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
29,80,12/28/2024,11/20/2024,-3246586,Casual,Rejected,2025-02-22T15:38:32Z,15,Fusce consequat. Nulla nisl. Nunc nisl.
30,14,11/18/2024,2/27/2025,8760647,Sick,Approved,2025-02-16T22:33:31Z,27,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
31,90,9/20/2025,12/9/2024,-24615289,Annual,Rejected,2025-06-01T11:23:52Z,60,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
32,99,5/24/2025,1/2/2025,-12271197,Sick,Rejected,2024-12-09T04:10:27Z,6,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
33,15,3/27/2025,6/6/2025,6118455,Sick,Rejected,2024-10-04T20:18:23Z,65,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
34,95,9/25/2024,9/5/2025,29813260,Sick,Pending,2025-03-25T12:40:08Z,27,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum."
35,47,4/27/2025,6/15/2025,4181280,Sick,Pending,2025-07-18T13:51:13Z,92,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
36,27,7/14/2025,3/5/2025,-11300689,Annual,Approved,2024-10-16T11:44:10Z,45,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
37,11,12/26/2024,3/5/2025,5905557,Sick,Pending,2025-04-08T11:57:11Z,52,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
38,18,9/30/2024,3/24/2025,15108297,Annual,Approved,2025-02-15T13:17:36Z,87,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
39,3,7/23/2025,6/1/2025,-4475575,Annual,Approved,2024-10-25T09:59:13Z,25,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
40,40,11/4/2024,10/18/2024,-1428529,Casual,Approved,2024-12-04T05:18:52Z,29,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
41,86,7/27/2025,3/15/2025,-11557770,Casual,Approved,2024-12-11T09:34:05Z,99,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio."
42,22,10/11/2024,2/6/2025,10198446,Casual,Pending,2025-03-11T22:34:00Z,30,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
43,94,1/13/2025,6/3/2025,12147902,Casual,Rejected,2025-05-09T09:36:37Z,60,Phasellus in felis. Donec semper sapien a libero. Nam dui.
44,85,4/16/2025,11/20/2024,-12699247,Casual,Approved,2024-11-13T08:38:42Z,56,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
45,47,3/22/2025,3/30/2025,639282,Annual,Rejected,2025-02-20T18:53:38Z,23,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
46,28,6/7/2025,10/15/2024,-20310833,Sick,Pending,2024-12-21T01:37:33Z,98,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus."
47,75,4/22/2025,2/16/2025,-5662396,Sick,Rejected,2025-06-28T10:47:45Z,42,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
48,93,11/30/2024,6/6/2025,16226160,Casual,Pending,2025-08-30T21:48:12Z,26,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
49,26,1/30/2025,3/5/2025,2911677,Casual,Pending,2025-06-19T16:57:07Z,93,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
50,74,11/3/2024,8/6/2025,23859798,Casual,Rejected,2024-12-12T05:46:04Z,95,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
51,2,7/25/2025,11/19/2024,-21418086,Sick,Rejected,2024-11-23T08:19:11Z,27,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
52,69,8/21/2025,1/24/2025,-18052569,Annual,Pending,2025-09-07T23:43:19Z,5,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
53,20,12/23/2024,11/10/2024,-3680858,Annual,Pending,2025-05-05T10:30:44Z,9,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
54,67,6/14/2025,12/3/2024,-16676615,Annual,Rejected,2025-01-05T12:46:15Z,79,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
55,99,2/2/2025,8/29/2025,17985559,Casual,Rejected,2025-04-25T06:28:03Z,61,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus."
56,85,6/30/2025,2/5/2025,-12590265,Annual,Rejected,2025-01-01T21:46:17Z,13,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
57,57,12/21/2024,2/14/2025,4825478,Annual,Rejected,2025-05-13T11:40:20Z,28,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
58,16,3/13/2025,10/29/2024,-11621312,Sick,Rejected,2025-04-04T05:44:07Z,94,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
59,19,10/3/2024,12/20/2024,6690017,Annual,Pending,2024-11-03T19:47:07Z,56,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
60,41,7/18/2025,4/18/2025,-7866242,Casual,Approved,2025-08-22T20:20:57Z,72,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
61,29,1/11/2025,8/24/2025,19394580,Annual,Pending,2025-04-24T06:09:31Z,5,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
62,11,12/3/2024,3/2/2025,7627701,Sick,Pending,2025-04-11T12:45:23Z,59,In congue. Etiam justo. Etiam pretium iaculis justo.
63,7,1/13/2025,11/25/2024,-4227479,Annual,Approved,2024-12-13T00:44:52Z,2,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
64,51,4/9/2025,8/8/2025,10411359,Casual,Approved,2025-01-06T14:40:14Z,53,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst."
65,100,12/11/2024,3/2/2025,7012493,Casual,Pending,2025-04-25T11:41:26Z,65,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
66,68,3/7/2025,6/20/2025,9130417,Annual,Rejected,2025-08-23T01:46:57Z,72,In congue. Etiam justo. Etiam pretium iaculis justo.
67,4,8/29/2025,1/15/2025,-19479277,Casual,Approved,2025-06-20T09:16:03Z,51,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
68,46,3/3/2025,2/4/2025,-2319579,Sick,Pending,2025-03-24T13:42:59Z,39,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
69,51,6/6/2025,12/29/2024,-13716592,Annual,Rejected,2025-05-07T14:39:41Z,4,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
70,32,1/12/2025,1/15/2025,208153,Casual,Rejected,2025-04-05T08:39:43Z,39,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
71,53,7/1/2025,1/27/2025,-13337271,Sick,Pending,2025-06-23T07:18:21Z,27,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
72,30,10/31/2024,12/13/2024,3666561,Casual,Approved,2025-05-03T09:46:45Z,76,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
73,11,12/26/2024,2/13/2025,4278277,Casual,Pending,2025-05-04T09:11:06Z,92,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
74,32,1/14/2025,5/27/2025,11498613,Sick,Rejected,2024-11-10T04:30:39Z,84,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
75,43,9/18/2025,9/14/2025,-372060,Annual,Rejected,2025-07-17T21:20:52Z,47,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui."
76,36,8/14/2025,3/28/2025,-12049287,Sick,Pending,2025-07-26T17:40:12Z,32,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
77,15,5/19/2025,12/21/2024,-12871397,Annual,Rejected,2025-02-23T23:02:42Z,80,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
78,73,3/13/2025,9/3/2025,15087613,Sick,Rejected,2024-11-08T14:27:02Z,55,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
79,31,3/24/2025,1/21/2025,-5346506,Casual,Rejected,2025-01-24T07:20:11Z,4,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
80,50,1/31/2025,4/16/2025,6475438,Annual,Approved,2025-08-23T17:27:57Z,86,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
81,37,3/8/2025,8/21/2025,14330485,Casual,Pending,2025-06-03T02:45:13Z,65,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat."
82,86,5/13/2025,7/14/2025,5335785,Annual,Approved,2025-03-15T01:08:02Z,28,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque."
83,40,6/3/2025,10/10/2024,-20392142,Casual,Rejected,2025-05-19T02:42:31Z,85,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
84,85,3/20/2025,1/21/2025,-5022492,Sick,Rejected,2025-01-05T22:40:13Z,42,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
